annotate,wr_lines,line_list_item_mask,,wh_id,wr_id
<s>Things to do list:<a0><s>weed the garden beds and clear out vegetable garden<a1><s>Rake the leaves and trim the branches<a1><s>cut the grass and weed-fat the backyard<a1><s>send out 5 resumes for employment<a1><s>wash the car and take it in for look Service<a1><s>vacuum the house and dust<a1><s>Take meat out of freezer for dinner tomorrow<a1><s>send out evite for Halloween Party<a1><s>Fold flyers for LP Realty<a1><s>Ge to Paul Lee's for software<a1><s>Go to Emerson Kennedy for handwriting<a1><s>Return DVD's to Blockbuster<a1><s>place an ad in newspaper for vacant room<a1><s>Go to mom's house for Sunday Dinner<a1><s>Go Fishing at Dad's<a1><s>Pick up Nick and Cary from the airport<a1><s>sign up for Italian language course<a1><s>purchase DVD's for Italian language course<a1>,"['Things to do list:', 'weed the garden beds and clear out vegetable garden', 'Rake the leaves and trim the branches', 'cut the grass and weed-fat the backyard', 'send out 5 resumes for employment', 'wash the car and take it in for look Service', 'vacuum the house and dust', 'Take meat out of freezer for dinner tomorrow', 'send out evite for Halloween Party', 'Fold flyers for LP Realty', ""Ge to Paul Lee's for software"", 'Go to Emerson Kennedy for handwriting', ""Return DVD's to Blockbuster"", 'place an ad in newspaper for vacant room', ""Go to mom's house for Sunday Dinner"", ""Go Fishing at Dad's"", 'Pick up Nick and Cary from the airport', 'sign up for Italian language course', ""purchase DVD's for Italian language course""]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,4679b950f7c620c544d94a76677197dea4baaa916d9a0ff0c40612d2,1
<s>front & back<a0>,['front & back'],[0],,a6b2380120369ee680bea24d131958a0a4909a8375d9522d7508dc3a,229
<s>internal<a0>,['internal'],[0],,a6b2380120369ee680bea24d131958a0a4909a8375d9522d7508dc3a,206
"<s>methods<a0><s>Office Add in<a0><s>measure: Convert String (in: text)<a0><s>1/ convert text to #, set cur #<a0><s>text = measure: Format String ( )<a0><s>1/ convert cur # to text, return text<a0><s>dit:. NM-SETTEXT<a0><s>edit:: WM-GETTEXT<a0><s># = pagesize:: Spin Size<a0><s>//calc.new # from curr #t inc.<a0><s>Ire turn new #.<a0><s>operator = 11<a0><s>Set #<a4><s>operator long (1<a0><s>1/ get #<a4><s>getl notebook Pos (float)<a0><s>// set value = float, update edit text<a4><s>Get POs ()<a0><s>11 get float value ditupdate ()<a0><s>// inc or dec.currval, set edit, notify parent leartext()<a0><s>/1 clearedit text to ensure refresh ccars later.<a0><s>-. //inc.ordec.currval, set edit<a0><s>ngt $11 Get text from edit, trim whitespace at &) 11 Gettextl), convert to float; equir<a0><s>Convert String 6001)<a0><s>11 Set value -float, optionally update edit . text<a4>","['methods', 'Office Add in', 'measure: Convert String (in: text) 1/ convert text to #, set cur #', 'text = measure: Format String ( ) 1/ convert cur # to text, return text', 'dit:. NM-SETTEXT', 'edit:: WM-GETTEXT', '# = pagesize:: Spin Size //calc.new # from curr #t inc.', 'Ire turn new #.', 'operator = 11 Set #', 'operator long (1 1/ get #', 'getl notebook', 'Pos (float) // set value = float, update edit text', 'Get POs () 11 get float value', 'ditupdate () // inc or dec.currval, set edit, notify parent', 'leartext() /1 clearedit text to ensure refresh', 'ccars later.', '-.', '//inc.ordec.currval, set edit', 'ngt $11 Get text from edit, trim whitespace', 'at &) 11 Gettextl), convert to float; equir Convert String', '6001) 11 Set value -float, optionally update edit . text']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",,a6b2380120369ee680bea24d131958a0a4909a8375d9522d7508dc3a,1
<s>spinediti.Set . float Spintdi Spin Edit:: E Spredit: (<a0>,"['spinediti.Set', '. float Spintdi', 'Spin Edit:: E', 'Spredit: (']","[0, 0, 0, 0]",,a6b2380120369ee680bea24d131958a0a4909a8375d9522d7508dc3a,181
<s>if fails<a0>,['if fails'],[0],,a6b2380120369ee680bea24d131958a0a4909a8375d9522d7508dc3a,201
"<s>Spin ()<a0><s>Get Text (CSTs<a0><s>Get Text Pos (fl SetPos (float,<a0>","['Spin ()', 'Get Text (CSTs', 'Get Text Pos (fl', 'SetPos (float,']","[0, 0, 0, 0]",,a6b2380120369ee680bea24d131958a0a4909a8375d9522d7508dc3a,210
"<s>To Do<a0><s>Buy a birthday present for Tracy.<a1><s>Buy a birthday present for Solveig.<a1><s>clean out my closet, give away old clothes to Goodwill.<a1><s>clean out under my bed!<a1><s>call m cousin. or email her.<a1><s>Take y clothes to the dry cleaner.<a1><s>Return jacket to Nordstroms.<a1><s>Open a credit card to establish credit.<a1><s>work out 5 days a week!<a1><s>Help my mom paint her bedroom.<a1><s>visit my sister in Bellingham.<a1><s>Practice the guitar daily.<a1><s>Buy school supplies"" and prepare myself for classes to start.<a1><s>Buy a new bookbag.<a1><s>vacuum my room.<a1><s>Wash my car.<a1><s>Catch up on my emails.<a1><s>vacuum the inside of my car.<a1>","['To Do', 'Buy a birthday present for Tracy.', 'Buy a birthday present for Solveig.', 'clean out my closet, give away old', 'clothes to Goodwill.', 'clean out under my bed!', 'call m cousin. or email her.', 'Take y clothes to the dry cleaner.', 'Return jacket to Nordstroms.', 'Open a credit card to establish credit.', 'work out 5 days a week!', 'Help my mom paint her bedroom.', 'visit my sister in Bellingham.', 'Practice the guitar daily.', 'Buy school supplies"" and prepare myself for', 'classes to start.', 'Buy a new bookbag.', 'vacuum my room.', 'Wash my car.', 'Catch up on my emails.', 'vacuum the inside of my car.']","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",,f38d7c5398286484ea2d2436c5fbf322ffa630b835235d346736712f,1
"<s>To . Do:<a0><s>G0 to Alaskan Airlines, buy ticket to New York City<a1><s>Go running at least 4 times a week<a1><s>Grocery Shopping@Trader Joes<a1><s>Walk Toby for Sue Anne<a1><s>Work on Chari is wedding gift<a1><s>Need to buy new shoes<a1><s>B leach end wash work shirts<a1><s>Take tie to the dry cleaners<a1><s>Help Marissa look for a jub in Scuttle<a1><s>Talk to Jeff about moving out and bills<a1><s>Contact bank about my Ruth IRA<a1><s>Find college contacts for CIT's when they come out in December<a1><s>Clean my House, including Steam clean my apartment ruy<a1><s>Start Christ mas shopping early<a1><s>Plan activities for the (IT's in December<a1><s>Cancel HBO on Cable and buy wireless connection SAVE MONEY!!<a1>","['To . Do: G0 to Alaskan Airlines, buy ticket to New York City', 'Go running at least 4 times a week', 'Grocery Shopping@Trader Joes', 'Walk Toby for Sue Anne', 'Work on Chari is wedding gift', 'Need to buy new shoes', 'B leach end wash work shirts', 'Take tie to the dry cleaners', 'Help Marissa look for a jub in Scuttle', 'Talk to Jeff about moving out and bills', 'Contact bank about my Ruth IRA', ""Find college contacts for CIT's when they come out in"", 'December', 'Clean my House, including Steam clean my apartment ruy', 'Start Christ mas shopping early', ""Plan activities for the (IT's in December"", 'Cancel HBO on Cable and buy wireless connection', 'SAVE MONEY!!']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",,3f2df5df87514921ba3c734e7b1ac73691fe1ed3a81e40ce6ac345fd,1
"<s>Questions:<a0><s>is it possible to resave with identical parameters automatically?<a0><s>(prevents increased loss - but must be truly identical, and identical algorithm.<a0><s>prob, will suffer loss in 1st generation child anyway).<a0><s>try saving with null encoder, just to find out.<a4><s>Don't expect to work.<a0><s>case 1: save to new file, can copy stream (image file1) to stream 'mage file<a3> <s>2). Assumes file 1 still available (Q: offline?)<a0><s>Corse 2 much worse.<a0><s>Also offline, deleted, etc.<a0><s>$ Q: feasible to duplicate stream?<a0><s>dup to tite to memory?<a0><s>What is perf cost?<a0><s>Does it matter?<a0><s>can we hack the stream format? ince it's compressed, probably has simple encoding @ beginning indicating format.<a0><s>Question is, how simple?<a0><s>Can we figure out what it is and insert our own version in our own (file copy) stream???<a0><s>TO DO:<a0><s>1) . Try saving to stream . with Null encoder.<a1><s>Check return code? = onsave Invalid parm .<a1><s>2) Try reading from file-copy stream.<a0><s>check return code. 7 = 2 error (on<a1><s>Read up on autosave, talk w/Vikram: Is there any existing provision for resaves nly on as-needed basis; only on part f file?<a1><s>(Need to have this con- versation anyway for stationery images)<a0><s>Figure out when, how much access if copy stream.<a1><s>Could this be allowed to page out 8 left untouched?<a3><s>What are best, worst-case size implications, and how do they compare to simply maintaining each image in memory as we assumed?<a3>","['Questions:', 'is it possible to resave with identical', 'parameters automatically? (prevents', 'increased loss - but must be truly', 'identical, and identical algorithm.', 'prob, will suffer loss in 1st generation', 'child anyway).', 'try saving with null encoder,', ""just to find out. Don't expect"", 'to work.', 'case 1: save to new file, can copy', 'stream (image file1) to stream', ""'mage file 2). Assumes file 1"", 'still available (Q: offline?)', 'Corse 2 much worse. Also offline,', 'deleted, etc.', '$ Q: feasible to duplicate stream? dup to', 'tite to memory? What is perf', 'cost? Does it matter?', 'can we hack the stream format?', ""ince it's compressed, probably has"", 'simple encoding @ beginning indicating', 'format. Question is, how simple?', 'Can we figure out what it is and', 'insert our own version in our', 'own (file copy) stream???', 'TO DO: 1) . Try saving to stream . with Null', 'encoder. Check return code? = onsave Invalid parm', '. 2) Try reading from file-copy stream.', 'check return code. 7 = 2 error (on', 'Read up on autosave, talk w/Vikram:', 'Is there any existing provision for resaves', 'nly on as-needed basis; only on part', 'f file? (Need to have this con-', 'versation anyway for stationery images)', 'Figure out when, how much access', 'if copy stream. Could this be allowed', 'to page out 8 left untouched? What', 'are best, worst-case size implications,', 'and how do they compare to simply', 'maintaining each image in memory', 'as we assumed?']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",,be0d1de112fb121dd65c019c50e8996b0877130252db5df818cbd2c2,1
